Individual Block Times,Index
0.0053811,830
0.0732688,831
0.0211461,832
0.0340875,833
0.0076285,834
0.0071859,835
0.0146898,836
0.0453279,837
0.0438659,838
0.0431615,839
0.0358954,840
0.0100187,841
0.0205512,842
0.0095085,843
0.0327434,844
0.0424629,845
0.0140689,846
0.0376362,847
0.0197365,848
0.0157827,849
0.000126,850
0.0366278,851
0.0132438,852
0.0517321,853
0.0117355,854
0.0164007,855
0.0515981,856
0.0231881,857
0.0022722,858
0.0551329,859
0.0320255,860
0.0474398,861
0.0287599,862
0.0047994,863
0.0228895,864
0.0163854,865
0.0190962,866
0.0086472,867
0.0252905,868
0.0099857,869
0.0262536,870
0.100944,871
0.0196386,872
0.0062342,873
0.0038568,874
0.0151503,875
0.0355566,876
0.0061198,877
0.0258519,878
0.0243456,879
0.0279458,880
0.0442066,881
0.019799,882
0.0411636,883
0.0023299,884
0.0172745,885
0.0282226,886
0.007043,887
0.0106775,888
0.0148318,889
0.010372,890
0.0045346,891
0.0090749,892
0.0422158,893
0.0396131,894
0.0215193,895
0.0167403,896
0.0199859,897
0.046711,898
0.0085444,899
0.0122819,900
0.0167436,901
0.0465201,902
0.027444,903
0.044518,904
0.0088107,905
0.0353195,906
0.0131071,907
0.0132949,908
0.0025123,909
0.01203,910
0.069092,911
0.0201394,912
0.01045,913
0.0571075,914
0.0071058,915
0.0206483,916
0.0566273,917
0.0029017,918
0.003955,919
0.0510876,920
0.0161726,921
0.0248815,922
0.0232513,923
0.0465166,924
0.0198104,925
0.0090138,926
0.0302919,927
0.0545222,928
0.0145874,929
0.0026658,930
0.0193268,931
0.0118203,932
0.0198662,933
0.020292,934
0.0179043,935
0.0069711,936
0.0140017,937
0.0515635,938
0.105485,939
0.004961,940
0.0023368,941
0.0662618,942
0.026874,943
0.0478188,944
0.0029935,945
0.0378451,946
0.0479476,947
0.0103504,948
0.0207715,949
0.0053465,950
0.007625,951
0.0648146,952
0.0519629,953
0.0081288,954
0.0305501,955
0.0322921,956
0.0022391,957
0.0079528,958
0.0012455,959
0.0064174,960
0.0119961,961
0.0352759,962
0.0006472,963
0.0338634,964
0.0050034,965
0.0676316,966
0.0261137,967
0.0037558,968
0.0212687,969
0.0090098,970
0.0410553,971
0.0155232,972
0.0600411,973
0.0064091,974
0.0079688,975
0.0206819,976
0.0171286,977
0.0183603,978
0.0968006,979
0.0071347,980
0.0728024,981
0.0411095,982
0.0155113,983
0.0281875,984
0.0019828,985
0.0107649,986
0.0042347,987
0.0015019,988
0.0224557,989
0.065276,990
0.0415901,991
0.0419436,992
0.091202,993
0.042798,994
0.0108245,995
0.00274,996
0.0251863,997
0.0256171,998
0.0220319,999
Overall Time
29.4488
